Name,composite,mlb_pipeline,fangraphs,Team,ETA,baseball_prospectus
Brandon Sproat,51.737,46,24.0,NYM,2025.0,39.0
Thomas White,55.0,41,83.0,MIA,2027.0,51.0
Konnor Griffin,58.789,43,,,,86.0
Quinn Mathews,58.789,45,32.0,STL,2025.0,27.0
Zyhir Hope,59.053,75,,,,8.0
Bryce Rainer,72.0,53,,,,56.0
Jaison Chourio,73.789,60,,,,83.0
Felnin Celesten,74.0,74,85.0,SEA,2029.0,
Travis Sykora,75.684,70,84.0,WSN,2027.0,59.0
Moises Ballesteros,78.895,69,,,,73.0
Michael Arroyo,84.368,98,,,,95.0
Alejandro Rosario,85.947,50,39.0,TEX,2026.0,72.0
Brayden Taylor,90.632,67,,,,70.0
Jonny Farmelo,96.421,96,100.0,SEA,2028.0,98.0
Agustin Ramirez,96.579,150,43.0,MIA,2025.0,55.0
Edgar Quero,102.684,66,90.0,CHW,2025.0,76.0
Jackson Ferris,104.211,71,,,,52.0
Sal Stewart,108.053,84,,,,
Cole Carrigg,115.579,150,,,,
Alex Freeland,118.526,72,35.0,LAD,2025.0,82.0
Thomas Harrington,118.789,80,,,,81.0
Robert Calaz,119.263,150,,,,49.0
Blake Mitchell,120.895,48,,,,
Emil Morales,128.474,150,,,,
Jacob Melton,128.632,150,,,,
Deyvison De Los Santos,131.368,150,,,,
Tre' Morgan,133.895,94,,,,
Colby Thomas,134.0,150,,,,
Ralphy Velazquez,137.632,150,,,,
Carson Benge,137.789,150,,,,71.0
Cooper Pratt,138.421,57,,,,63.0
Aidan Smith,139.053,150,,,,
Jefferson Rojas,139.579,97,81.0,CHC,2027.0,
Emiliano Teodo,140.0,150,,,,
Angel Genao,140.0,62,33.0,CLE,2027.0,78.0
Jaden Hamm,142.105,150,,,,
Theo Gillen,142.632,99,,,,87.0
Juan Brito,143.895,150,78.0,CLE,2025.0,
Trey Yesavage,144.421,88,,,,
Joendry Vargas,144.895,150,,,,
Brice Matthews,145.947,150,,,,68.0
Ryan Waldschmidt,147.737,150,,,,
Santiago Suarez,149.263,150,,,,
Chase Petty,149.947,150,42.0,CIN,2025.0,
Gary Gill Hill,150.316,150,,,,
Seaver King,151.158,150,,,,
Jonah Tong,151.789,150,,,,75.0
Franklin Arias,152.368,76,,,,
Brailer Guerrero,154.368,150,,,,
Cam Caminiti,154.684,89,,,,
Demetrio Crisantes,154.737,150,,,,
Carson Whisenhunt,155.737,150,95.0,SFG,2025.0,
Zach Dezenzo,157.421,150,,,,
Josue Briceno,157.737,95,,,,64.0
Welbyn Francisca,157.842,150,88.0,CLE,2029.0,
George Klassen,158.579,150,93.0,LAA,2025.0,
Jurrangelo Cijntje,158.947,150,,,,
Winston Santos,160.947,150,,,,
